l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,delta,kappa,refine,max_abs_n,abs_kappa,mu
5,5,0,6,4,0,7,-48,0,-0.0019862555038104063,0.0018116043345837844,0.0001743569368572315,-2.9423236939029804e-07,3.217322207254952,1,48,3.217322207254952,1906.523314756203
4,0,0,3,-33,0,5,-1,0,-0.0012082903080278123,0.00011732104915815255,0.0010910354688303623,6.620996070242496e-08,0.6469784750177886,1,33,0.6469784750177886,10651.189419502409
3,4,0,4,3,0,7,-51,0,-0.0016697023644453982,0.00150612480128053,0.00016451024374080313,9.326805759349473e-07,7.774601055788953,1,51,7.774601055788953,1371.3168656783366
6,-2,0,3,-1,0,9,-85,0,-0.0011210385021110606,0.0009939560760100293,0.0001266799841760754,-4.024419249558722e-07,4.152691308360277,1,85,4.152691308360277,1303.4742266034057
3,5,0,3,4,0,6,-34,0,-0.0018791792959005039,0.0016697023644453982,0.00020961697198426728,1.4004052916165993e-07,4.892280352062188,1,34,4.892280352062188,7322.912559804969
2,7,0,2,-3,0,2,3,0,-0.0020529873759919655,0.0006544435404762507,0.001398386150657986,-1.5768485772888266e-07,0.881089871884335,1,7,0.881089871884335,5376.1239974671935
1,3,0,5,-2,0,6,-67,0,-0.0011616347408751621,0.0010518133842167875,0.00010963936035165052,-1.819963067241099e-07,1.7965980488419944,1,67,1.7965980488419944,1081.798366646735
4,5,0,6,4,0,10,-94,0,-0.0019351014156810539,0.0018116043345837844,0.00012678976842379558,3.292687326525998e-06,19.868425182476415,1,94,19.868425182476415,764.9181031021168
5,3,0,4,2,0,5,-27,0,-0.001548847611724769,0.0013269608486436745,0.00022193567201669688,4.8908935602236595e-08,0.425174718659396,1,27,0.425174718659396,1929.3286630722685
2,7,0,5,4,0,7,-28,0,-0.0020529873759919655,0.0017666927178038535,0.00028590704228598836,-3.87615902123703e-07,2.1425642134417306,1,28,2.1425642134417306,1580.3639360591703
2,5,0,3,4,0,5,-46,0,-0.0018048401012071306,0.0016697023644453982,0.00013432432280613692,-8.134139555953952e-07,7.110511789115939,1,46,7.110511789115939,1174.2044291039178
3,1,0,3,-1,0,6,-41,0,-0.0011691878228487144,0.0009939560760100293,0.00017543522336927852,2.0347653059346604e-07,1.925050360831437,1,41,1.925050360831437,1659.7542889933127
1,7,0,2,5,0,3,-34,0,-0.0019182614902478053,0.0018048401012071306,0.00011378624394402568,3.6485490335089535e-07,4.522484421151161,1,34,4.522484421151161,1410.414072939992
5,5,0,3,5,0,4,-47,0,-0.0019862555038104063,0.0018791792959005039,0.00010735280104432215,2.765931344196268e-07,2.9264924274349995,1,47,2.9264924274349995,1135.8391724775088
1,7,0,6,4,0,7,-78,0,-0.0019182614902478053,0.0018116043345837844,0.0001091385742886571,2.481418624636182e-06,14.667527695378153,1,78,14.667527695378153,645.1076520831615
2,2,0,5,-2,0,7,-55,0,-0.00120515078399613,0.0010518133842167875,0.0001535675284494552,2.3012867011269408e-07,2.0906292253941676,1,55,2.0906292253941676,1395.0629070528269
4,5,0,5,4,0,7,-50,0,-0.0019351014156810539,0.0017666927178038535,0.0001677932391365104,-6.154587406899999e-07,5.05570200616909,1,50,5.05570200616909,1378.3382305076884
3,5,0,5,4,0,8,-84,0,-0.0018791792959005039,0.0017666927178038535,0.00011480892342122573,2.322345324575273e-06,14.08553166648449,1,84,14.08553166648449,696.3163017416039
3,2,0,6,-2,0,7,-62,0,-0.001257209295342265,0.0011210385021110606,0.00013674045710444197,5.696638732375931e-07,4.877220070127693,1,62,4.877220070127693,1170.6821530018715
4,5,0,6,4,0,10,-100,0,-0.0019351014156810539,0.0018116043345837844,0.00011930146213067803,-4.195618966591546e-06,23.37083129030881,1,100,23.37083129030881,664.3652800201496
1,4,0,0,1,0,1,-1,0,-0.0012960421937048758,0.0006390285330416885,0.0006570931047518628,7.944408867560648e-08,0.8791361464516423,1,4,0.8791361464516423,7271.129911060098
